code,name,equity
EK2481985 Corp,DB 6,DBK GR EQUITY
AR8103921 Corp,HSBC 6.25,HSBA LN EQUITY
EK5892527 Corp,DB 7.5,DBK GR EQUITY
AN6117401 Corp,HSBC 6,HSBA LN EQUITY
EK2626407 Corp,DB 6.25,DBK GR EQUITY
AR5470927 Corp,SANTAN 4.75,SAN SM EQUITY
AR8209066 Corp,HSBC 6.5,HSBA LN EQUITY
EK8181159 Corp,HSBC 6.375,HSBA LN EQUITY
EK3458065 Corp,SOCGEN 6,GLE FP EQUITY
EK4786241 Corp,HSBC 6.375,HSBA LN EQUITY
AP3065806 Corp,SANTAN 5.25,SAN SM EQUITY
LW2088877 Corp,HSBC 6.875,HSBA LN EQUITY
EK2507318 Corp,SANTAN 6.375,SAN SM EQUITY
EK4786126 Corp,HSBC 5.625,HSBA LN EQUITY
AS0717817 Corp,SOCGEN 6.75,GLE FP EQUITY
EJ9873484 Corp,SOCGEN 7.875,GLE FP EQUITY
QZ4822180 Corp,SOCGEN 7.375 ,GLE FP EQUITY
EK1447227 Corp,SOCGEN 6.75 ,GLE FP EQUITY
UV9578161 Corp,SOCGEN 8,GLE FP EQUITY
EK0987322 Corp,SANTAN 6.25,SAN SM EQUITY
